date,code,open,close,high,low,volume
20100104,000001,24.52,23.71,24.58,23.68,241922.76
20100104,000002,10.85,10.6,10.87,10.6,969832.53
20100104,000005,6.01,5.99,6.05,5.91,223582.22
20100104,000006,11.33,11.12,11.35,11.11,62998.05
20100104,000007,7.09,6.93,7.09,6.9,25901.79
20100104,000009,11.0,10.84,11.03,10.8,173626.71
20100104,000010,11.95,11.81,12.08,11.79,19206.79
20100104,000011,10.79,10.64,10.79,10.63,36259.4
20100105,000001,23.75,23.3,23.9,22.75,556499.82
20100105,000002,10.51,10.36,10.52,10.2,1848620.78
20100105,000005,5.95,6.2,6.32,5.83,644252.42
20100105,000006,11.12,10.8,11.18,10.66,131299.46
20100105,000007,6.94,7.19,7.19,6.83,37809.37
20100105,000009,10.89,10.56,10.95,10.46,314633.2
20100105,000010,11.81,11.6,11.85,11.52,17623.19
20100105,000011,10.6,10.31,10.71,10.21,68653.89
20100106,000001,23.25,22.9,23.25,22.72,412143.13
20100106,000002,10.35,10.36,10.51,10.2,1358604.06
20100106,000005,6.13,6.08,6.28,6.06,494034.08
20100106,000006,10.79,10.83,11.04,10.72,138360.3
20100106,000007,7.17,7.19,7.3,7.12,43608.25
20100106,000009,10.56,10.55,10.75,10.37,234084.4
20100106,000010,11.61,11.72,11.73,11.55,15153.49
20100106,000011,10.27,10.34,10.52,10.11,61389.02
20100107,000001,22.9,22.65,23.05,22.4,355336.85
20100107,000002,10.36,10.28,10.43,10.24,1152441.98
20100107,000005,6.03,5.83,6.07,5.82,314417.23
20100107,000006,10.85,10.74,10.96,10.6,102246.2
20100107,000007,7.16,6.98,7.24,6.92,27441.08
20100107,000009,10.44,10.75,11.09,10.28,472863.23
20100107,000010,11.73,11.26,11.77,11.13,22033.19
20100107,000011,10.18,10.1,10.41,10.01,53449.53
20100108,000001,22.5,22.6,22.75,22.35,288543.06
20100108,000002,10.28,10.35,10.38,10.19,1085304.22
20100108,000005,5.8,5.89,5.93,5.74,167892.49
20100108,000006,10.7,11.0,11.0,10.65,89757.37
20100108,000007,6.94,7.03,7.05,6.83,15540.91
20100108,000009,10.7,11.27,11.32,10.55,553769.08
20100108,000010,11.15,11.46,11.46,11.03,11019.12
20100108,000011,10.01,10.2,10.2,10.01,37953.57
20100111,000001,23.5,22.6,23.68,22.28,442846.02
20100111,000002,10.52,10.18,10.6,10.08,1713005.98
20100111,000005,5.9,5.82,5.96,5.76,214233.41
20100111,000006,11.18,10.71,11.18,10.67,90467.25
20100111,000007,7.04,7.07,7.16,7.02,20303.59
20100111,000009,11.36,11.05,11.52,10.96,359493.29
20100111,000010,11.68,11.54,11.75,11.48,19604.76
20100111,000011,10.25,10.47,10.52,10.04,73829.46
20100112,000001,22.57,22.45,22.65,21.8,591795.91
20100112,000002,10.13,10.29,10.37,9.98,1520725.07
20100112,000005,5.8,6.13,6.16,5.75,439055.5
20100112,000006,10.87,11.18,11.18,10.78,269058.46
20100112,000007,7.07,7.15,7.18,7.0,20072.3
20100112,000009,11.07,11.33,11.37,11.0,308184.03
20100112,000010,11.65,11.88,11.93,11.47,32566.11
20100112,000011,10.4,10.71,10.84,10.28,95396.13
20100113,000001,21.87,20.96,21.9,20.8,935039.47
20100113,000002,9.94,10.04,10.08,9.89,1892791.8
20100113,000005,6.0,6.04,6.08,5.9,282899.44
20100113,000006,10.92,10.82,11.05,10.8,131979.86
20100113,000007,7.0,6.96,7.05,6.9,27146.73
20100113,000009,10.99,10.73,11.1,10.55,422020.56
20100113,000010,11.66,11.79,11.98,11.66,27576.09
20100113,000011,10.5,10.15,10.52,10.12,64925.59
20100114,000001,21.0,20.97,21.16,20.6,521194.74
20100114,000002,10.04,10.03,10.08,9.91,1192513.86
20100114,000005,5.99,6.07,6.14,5.95,497536.77
20100114,000006,10.9,10.88,10.93,10.67,151667.31
20100114,000007,6.98,7.13,7.16,6.98,22879.67
20100114,000009,10.7,10.87,10.94,10.5,209684.17
20100114,000010,11.77,11.92,11.95,11.68,31406.13
20100114,000011,10.31,10.28,10.46,10.12,50884.59
20100115,000001,21.02,21.43,21.65,20.65,539508.46
20100115,000002,10.06,10.14,10.23,10.04,1179247.85
20100115,000005,6.07,6.09,6.2,6.0,313566.14
20100115,000006,10.95,11.09,11.27,10.92,163025.05
20100115,000007,7.14,7.33,7.38,7.14,33134.4
20100115,000009,10.91,11.44,11.55,10.88,555533.36
20100115,000010,11.96,12.02,12.15,11.85,31957.71
20100115,000011,10.3,10.58,10.77,10.3,85852.53
20100118,000001,21.43,21.47,21.76,21.21,349126.52
20100118,000002,10.14,10.09,10.19,9.99,1251745.42
20100118,000005,6.08,6.22,6.25,6.06,362654.14
20100118,000006,11.02,11.24,11.28,10.96,119338.46
20100118,000007,7.5,7.7,7.7,7.44,75399.62
20100118,000009,11.43,11.75,11.96,11.32,434662.78
20100118,000010,12.02,12.45,12.58,12.02,49635.99
20100118,000011,10.62,10.64,10.74,10.42,65150.75
20100119,000001,21.58,22.23,22.34,21.56,650715.14
20100119,000002,10.1,10.06,10.16,10.03,1064043.88
20100119,000005,6.21,6.1,6.22,6.06,280766.18
20100119,000006,11.31,11.17,11.34,11.09,100400.2
20100119,000009,11.88,11.83,12.33,11.77,456002.01
20100119,000010,12.45,12.2,12.5,12.13,34241.1
20100119,000011,10.66,10.54,10.8,10.48,49913.12
20100120,000001,22.22,21.38,22.6,21.3,490835.67
20100120,000002,10.08,9.76,10.1,9.73,1737476.54
20100120,000005,6.1,5.89,6.15,5.88,327194.38
20100120,000006,11.25,10.69,11.27,10.66,155251.77
20100120,000007,7.72,7.32,7.75,7.32,66447.44
20100120,000008,11.67,11.67,11.67,11.67,5379.0
20100120,000009,11.76,11.76,12.25,11.58,524124.53
20100120,000010,12.19,12.01,12.35,11.73,38351.8
20100120,000011,10.54,10.69,10.94,10.54,127557.21
20100121,000001,21.58,22.68,22.8,21.38,632301.3
20100121,000002,9.76,9.8,9.87,9.63,1048284.54
20100121,000005,5.85,5.89,5.96,5.81,160588.34
20100121,000006,10.8,10.88,10.99,10.66,73027.95
20100121,000007,7.32,7.4,7.49,7.23,28408.55
20100121,000008,11.09,11.09,11.09,11.09,1524.0
20100121,000009,11.7,11.78,11.94,11.32,298692.18
20100121,000010,11.98,12.32,12.38,11.86,28966.84
20100121,000011,10.93,11.76,11.76,10.9,286893.52
20100122,000001,22.44,23.08,23.45,21.88,882538.96
20100122,000002,9.68,9.55,9.73,9.5,1125393.43
20100122,000005,5.81,5.64,5.82,5.5,232992.5
20100122,000006,10.68,10.46,10.85,10.21,109124.74
20100122,000007,7.32,7.2,7.33,7.08,36972.0
20100122,000008,10.54,10.86,11.09,10.54,67437.81
20100122,000009,11.5,11.28,11.68,11.03,217436.95
20100122,000010,12.1,12.33,12.68,11.92,36649.82
20100122,000011,11.76,11.11,11.76,10.7,228948.85
20100125,000001,22.6,22.19,23.1,22.1,356058.64
20100125,000002,9.52,9.52,9.65,9.45,601708.36
20100125,000005,5.6,5.45,5.67,5.42,158884.0
20100125,000006,10.44,10.27,10.48,10.26,52419.48
20100125,000007,7.19,7.05,7.19,6.96,22155.8
20100125,000008,10.44,10.35,10.57,10.32,50619.32
20100125,000009,11.26,10.62,11.26,10.58,267275.24
20100125,000010,12.29,12.35,12.85,12.1,28591.12
20100125,000011,10.9,10.29,11.09,10.29,97414.42
20100126,000001,22.19,22.05,22.59,21.6,345325.56
20100126,000002,9.52,9.22,9.59,9.18,1055038.78
20100126,000005,5.45,5.15,5.51,5.06,169970.17
20100126,000006,10.3,9.85,10.34,9.76,67568.14
20100126,000007,7.0,6.75,7.11,6.7,26967.93
20100126,000008,10.31,9.83,10.43,9.83,29880.29
20100126,000009,10.61,10.11,10.72,10.0,185000.82
20100126,000010,12.31,11.73,12.39,11.73,32540.33
20100126,000011,10.35,9.61,10.48,9.5,81618.54
20100127,000001,22.39,21.91,22.6,21.7,401034.76
20100127,000002,9.25,9.29,9.46,9.19,955003.79
20100127,000005,5.15,5.11,5.24,5.03,120255.34
20100127,000006,9.9,9.91,10.08,9.75,55267.38
20100127,000007,6.88,7.09,7.09,6.78,21563.06
20100127,000008,9.61,9.62,9.83,9.43,16593.54
20100127,000009,10.1,10.27,10.52,9.97,174380.21
20100127,000010,11.73,11.27,11.76,11.21,20029.37
20100127,000011,9.63,9.69,9.88,9.5,47080.49
20100128,000001,21.8,21.75,22.05,21.11,262132.49
20100128,000002,9.27,9.41,9.48,9.19,840947.53
20100128,000005,5.11,5.13,5.18,5.03,113194.87
20100128,000006,9.95,10.01,10.07,9.83,53230.7
20100128,000007,7.14,7.11,7.39,7.08,51522.03
20100128,000008,9.63,9.61,9.77,9.37,18029.42
20100128,000009,10.25,10.49,10.6,10.16,99171.37
20100128,000010,11.18,11.29,11.49,11.18,13195.1
20100128,000011,9.68,9.66,9.7,9.38,40150.58
20100129,000001,21.59,21.7,22.35,21.32,240688.21
20100129,000002,9.35,9.34,9.53,9.3,791506.82
20100129,000005,5.1,5.39,5.41,5.05,251053.4
20100129,000006,9.95,9.96,10.17,9.85,56173.54
20100129,000007,7.0,6.91,7.08,6.75,29852.7
20100129,000008,9.56,9.63,10.0,9.5,21325.9
20100129,000009,10.43,10.43,10.73,10.27,140179.41
20100129,000010,11.23,11.42,11.45,11.23,15665.82
20100129,000011,9.52,9.73,9.8,9.4,44974.38
20100201,000001,21.71,21.24,21.77,21.0,283179.91
20100201,000002,9.3,9.41,9.53,9.09,978057.99
20100201,000005,5.4,5.43,5.5,5.24,319676.43
20100201,000006,9.98,10.28,10.4,9.76,104481.05
20100201,000007,6.9,7.01,7.09,6.85,22665.71
20100201,000008,9.67,9.89,9.95,9.6,19755.8
20100201,000009,10.38,10.46,10.7,10.0,186273.19
20100201,000010,11.4,11.75,11.81,11.38,17733.47
20100201,000011,9.72,9.43,9.72,9.18,47284.37
20100202,000001,21.26,21.37,21.96,21.26,286733.6
20100202,000002,9.43,9.28,9.55,9.28,753918.13
20100202,000005,5.43,5.29,5.46,5.28,141460.36
20100202,000006,10.32,10.17,10.43,10.15,87133.45
20100202,000007,7.0,6.91,7.08,6.9,15395.0
20100202,000008,9.92,9.89,10.05,9.8,10108.26
20100202,000009,10.53,10.28,10.85,10.21,147409.9
20100202,000010,11.68,11.85,12.07,11.68,20744.64
20100202,000011,9.48,9.28,9.66,9.25,43374.06
20100203,000001,21.53,22.58,22.58,21.24,549005.74
20100203,000002,9.26,9.45,9.48,9.13,818777.56
20100203,000005,5.29,5.3,5.35,5.06,151504.53
20100203,000006,10.21,10.35,10.4,9.81,67421.93
20100203,000007,6.89,6.91,6.97,6.57,16942.23
20100203,000008,9.98,9.93,10.06,9.4,17697.85
20100203,000009,10.28,10.65,10.7,9.98,259110.83
20100203,000011,9.24,10.0,10.05,8.92,74937.66
20100204,000001,22.33,22.2,22.45,22.01,303346.03
20100204,000002,9.4,9.41,9.53,9.3,829513.26
20100204,000005,5.26,5.52,5.77,5.16,417612.81
20100204,000006,10.28,10.44,10.8,10.17,131975.38
20100204,000007,6.88,6.96,7.05,6.81,18585.53
20100204,000008,9.9,9.95,10.12,9.74,19442.13
20100204,000009,10.55,11.72,11.72,10.5,1119807.26
20100204,000010,11.88,12.08,12.14,11.8,27833.12
20100204,000011,9.95,9.99,10.25,9.58,111357.92
20100205,000001,21.62,22.0,22.32,21.41,276174.0
20100205,000002,9.26,9.2,9.32,9.15,687999.66
20100205,000005,5.34,5.39,5.47,5.29,194414.79
20100205,000006,10.24,10.04,10.26,9.95,75387.97
20100205,000007,6.8,6.81,6.86,6.7,16985.69
20100205,000008,9.84,10.12,10.16,9.7,17446.74
20100205,000009,11.74,11.18,12.1,11.07,1066509.02
20100205,000010,11.81,11.9,12.06,11.65,20790.16
20100205,000011,9.65,9.46,9.79,9.41,51773.36
20100208,000001,21.88,21.56,22.08,21.45,206423.07
20100208,000002,9.19,9.12,9.22,9.08,539591.65
20100208,000005,5.33,5.42,5.51,5.33,99911.11
20100208,000006,10.14,9.99,10.14,9.94,38463.87
20100208,000007,6.8,6.82,6.86,6.76,8917.03
20100208,000008,10.0,10.13,10.16,9.9,9879.69
20100208,000009,11.08,10.8,11.2,10.66,440872.02
20100208,000010,11.9,11.88,12.1,11.78,17561.09
20100208,000011,9.56,9.7,9.76,9.51,28315.57
20100209,000001,21.6,22.0,22.15,21.53,248170.26
20100209,000002,9.12,9.09,9.16,9.03,449034.05
20100209,000005,5.4,5.26,5.45,5.22,143931.21
20100209,000006,9.99,9.92,10.05,9.87,45784.57
20100209,000007,6.81,6.86,6.87,6.79,9329.92
20100209,000009,10.9,10.52,11.06,10.4,275663.39
20100209,000010,11.81,11.45,11.9,11.36,16311.53
20100209,000011,9.56,9.37,9.56,9.27,38374.54
20100210,000001,22.2,22.28,22.38,22.02,253839.64
20100210,000002,9.14,9.21,9.24,9.1,450541.54
20100210,000005,5.28,5.31,5.34,5.26,72621.5
20100210,000006,10.0,10.06,10.06,9.9,38559.31
20100210,000007,6.84,6.92,6.95,6.83,9968.82
20100210,000008,10.15,10.22,10.33,10.07,9874.19
20100210,000009,10.6,10.65,10.7,10.46,160805.09
20100210,000010,11.5,11.82,11.83,11.48,13361.65
20100210,000011,9.43,9.42,9.46,9.33,25794.84
20100211,000001,22.21,22.11,22.35,22.08,139102.29
20100211,000002,9.23,9.28,9.35,9.18,529121.9
20100211,000004,9.5,9.5,9.94,9.5,37140.43
20100211,000005,5.32,5.31,5.37,5.3,68762.83
20100211,000006,10.08,10.13,10.17,10.03,53561.15
20100211,000007,6.92,6.94,7.05,6.9,13017.32
20100211,000008,10.28,10.23,10.43,10.15,6540.61
20100211,000009,10.65,10.58,10.8,10.52,137404.31
20100211,000010,11.75,11.96,12.05,11.69,14738.17
20100211,000011,9.44,9.38,9.57,9.37,22838.93
20100212,000001,22.17,22.45,22.6,22.17,188385.63
20100212,000002,9.37,9.37,9.37,9.31,420578.17
20100212,000004,9.1,9.17,9.34,9.03,32126.76
20100212,000005,5.35,5.35,5.35,5.26,95077.36
20100212,000006,10.18,10.14,10.19,10.08,41413.85
20100212,000007,7.04,7.27,7.27,7.0,31980.51
20100212,000008,10.23,10.36,10.39,10.15,8919.97
20100212,000009,10.65,10.86,10.95,10.55,177348.06
20100212,000010,12.0,11.96,12.05,11.85,14900.8
20100212,000011,9.4,9.45,9.54,9.35,25185.93
20100222,000001,22.31,22.1,22.45,22.08,165777.59
20100222,000002,9.29,9.26,9.35,9.25,347717.29
20100222,000004,9.09,9.22,9.3,8.82,24813.1
20100222,000005,5.33,5.31,5.37,5.24,102259.44
20100222,000006,10.14,9.98,10.14,9.95,46611.52
20100222,000007,7.2,7.34,7.59,7.2,42649.17
20100222,000008,10.33,10.3,10.4,10.13,7803.16
20100222,000009,10.7,10.55,10.76,10.48,198268.9
20100222,000010,11.89,12.04,12.17,11.88,16440.24
20100222,000011,9.4,9.58,9.6,9.29,40054.29
20100223,000001,22.03,21.55,22.05,21.4,237781.28
20100223,000002,9.27,9.13,9.27,9.09,432174.74
20100223,000004,9.1,9.1,9.22,8.88,17904.55
20100223,000005,5.31,5.28,5.33,5.19,93836.02
20100223,000006,9.97,9.92,9.98,9.75,39797.32
20100223,000007,7.28,7.35,7.38,7.12,24197.24
20100223,000008,10.22,10.25,10.3,10.01,6900.46
20100223,000009,10.53,10.71,10.75,10.5,165529.75
20100223,000010,12.08,11.99,12.08,11.8,11256.23
20100223,000011,9.55,9.65,9.68,9.38,48264.03
20100224,000001,21.41,21.71,21.79,21.22,231486.45
20100224,000002,9.09,9.23,9.24,9.05,479767.91
20100224,000004,9.1,9.4,9.45,9.02,13111.33
20100224,000005,5.21,5.45,5.45,5.21,213312.11
20100224,000006,9.8,10.11,10.12,9.8,54574.92
20100224,000007,7.3,7.46,7.49,7.21,28947.23
20100224,000008,10.25,10.46,10.58,10.14,8444.52
20100224,000009,10.72,11.07,11.09,10.68,268247.23
20100224,000010,11.92,12.37,12.45,11.92,25553.7
20100224,000011,9.6,9.82,9.85,9.5,58116.65
20100225,000001,21.67,22.15,22.41,21.61,347878.98
20100225,000002,9.28,9.48,9.5,9.28,1032743.91
20100225,000004,9.44,9.87,9.87,9.35,28143.77
20100225,000005,5.49,5.65,5.76,5.47,323394.74
20100225,000007,7.47,7.7,7.75,7.38,64040.17
20100225,000008,10.54,10.69,10.79,10.41,9424.42
20100225,000009,11.2,11.19,11.44,10.98,315588.89
20100225,000010,12.31,12.4,12.46,12.12,16953.25
20100225,000011,9.87,10.03,10.19,9.79,77024.62
20100226,000001,22.01,22.45,22.62,21.98,450217.3
20100226,000002,9.49,9.43,9.52,9.4,678204.33
20100226,000004,9.96,10.36,10.36,9.87,21279.37
20100226,000005,5.63,5.59,5.76,5.53,193977.49
20100226,000006,10.39,10.38,10.62,10.36,194842.39
20100226,000007,7.72,7.77,7.79,7.55,59603.93
20100226,000008,10.61,11.1,11.21,10.61,16616.7
20100226,000009,11.16,11.31,11.56,11.09,364672.71
20100226,000010,12.38,12.49,12.6,12.3,18023.58
20100226,000011,10.02,9.99,10.22,9.91,62864.33
20100301,000002,9.43,9.44,9.48,9.34,708228.03
20100301,000004,10.62,10.88,10.88,10.6,16789.06
20100301,000005,5.54,5.74,5.74,5.53,266361.68
20100301,000006,10.19,10.39,10.4,10.18,98658.22
20100301,000007,8.15,7.82,8.16,7.7,131914.87
20100301,000008,11.09,11.3,11.66,11.02,21319.49
20100301,000009,11.24,11.4,11.49,11.07,297180.2
20100301,000010,12.53,12.45,12.59,12.41,19193.06
20100301,000011,10.0,10.25,10.36,9.94,83654.7
20100302,000001,22.89,23.11,23.96,22.89,684647.27
20100302,000002,9.45,9.61,9.66,9.45,1315010.66
20100302,000004,10.95,11.42,11.42,10.95,51316.44
20100302,000005,5.73,5.8,5.93,5.65,411383.08
20100302,000006,10.39,10.52,10.6,10.26,118934.42
